'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0007f9c5-a0f0-438b-90bd-64709f3d7e4f', '4100_3', 60, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('34e5e515-7bcf-4722-8b93-319c3e81842b', '5234', 71, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('35a639c4-4943-46c1-b10d-ad2fd4175460', '5209', 17, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('35b36726-3b17-4feb-902d-37246ed94a9c', '4069', 97, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('366b8802-78c6-4629-a2b9-d4b8a7a174dc', '2211', 50, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('370a0fe4-dc0b-4e7b-9551-31e0e82bc1cd', '6052', 60, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('377f69a3-2bbc-4f50-a2c5-3f74b68149a1', '3068', 65, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('3a868ee4-726f-4838-8e47-7ecf2a5d76e1', '3241', 30, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('3b504429-859d-4318-ad19-3d564db7092b', '6092', 75, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('411ff4ab-b2e8-4b1a-a606-c4c9bd54d436', '2028', 70, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('424abba3-78f6-4982-a269-2f66e3929b09', '3052', 18, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('429c6ffe-bc51-429c-b482-4f3d79ee7d54', '4065', 30, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('42e171f3-5cba-40cb-9a69-b3b1e9cc6057', '3228', 68, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('43ebc269-c996-441f-8458-3812d0c190b8', '3008', 61, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('441ccc47-46bf-4067-bf18-9346ff899554', '2059', 13, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('44487062-5452-4611-a5dc-2feff91701a2', '2029', 77, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('44666cdd-e275-46c4-ae27-1c99071a5a0d', '4026', 79, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('44f0fc84-2e18-4aa2-8903-606b542de2a7', '5076', 46, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('4536b113-44c2-4246-86df-0f945ef0af2f', '4056', 92, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('46208d88-2609-4143-8db6-c65f515ddf56', '2206', 85, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('4634deba-2d14-4835-ad19-4406155534ef', '5100_4', 78, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('46579d2a-8e01-4ee2-8c6d-2d760b5d01c5', '3061', 95, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('466a3c55-32ae-4150-b94c-55a669ace61e', '4081', 74, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('471522a6-ae12-451c-9220-c4047ecc4991', '5081', 70, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('47bc404d-9132-444e-bdb9-4c2c0522af4b', '5100_1', 85, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('48755bf5-7efe-4c47-a24f-39144f8ee942', '4062', 35, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('49850768-3c3b-413b-9f6b-b88cbe733ee0', '5056', 17, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('4aad3034-857e-452d-bea0-56cb141ea5d4', '1200', 2, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('4ac7bf7e-5f88-4968-990e-03dc03ea21b5', '4241', 30, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('4d443e35-79b4-4d32-83de-fcf5deb21109', '3059', 23, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('4dbfe16c-032f-4ccf-8004-2b6b34b03dab', '5068', 55, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('4ddfc1dc-545d-43e6-b79f-43214f4f0c15', '6211', 35, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('4e34c532-6e19-4640-932d-ca357dca5014', '2243', 76, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('4e67d555-a3f1-4e53-a8da-e509ea54b03f', '6136', 51, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('4e9608bf-6e6d-469a-bc20-e138e8d050ca', '5088', 32, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('4faa6ee5-2292-42eb-b033-ec16c3395b75', '3066', 41, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('4fb18047-11cc-4397-9df8-472c1f8aef80', '2081', 14, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('50370d1a-719a-430a-84fc-bc4dedc0c4fe', '2004', 36, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('51212813-2a2f-4839-a2ed-fb5dd5f3d11d', '6056', 9, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('51aaa8c0-a556-48ee-840b-39879ea4038e', '5054', 92, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('51c76944-fc4e-4eef-b2c3-1be390af5951', '3013', 80, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('52828ead-30ad-4832-8cfc-632a08e545ea', '1433', 35, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('52a45d8a-6ab0-4e2a-ae7b-bce550013410', '3100_6', 38, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('52b78108-2594-4b68-9431-c363e12df723', '5084', 0, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('5433674b-d7cf-4170-881f-864ca13e2513', '5100_8', 58, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('543b6d27-7863-4b39-97ea-176ef6740fe7', '6034', 90, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('5601f314-27d8-4b61-ae3c-bbd5f6906d68', '4219', 27, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('563f2d84-8b06-48e3-bd00-073d43211385', '4029', 67, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('56531079-8cee-4fa2-9730-7435207285be', '2224', 21, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('565706d3-e9ed-456a-b017-d0d6b6124f48', '6051', 59, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('56b65342-a8f2-40df-8d37-c96042b529ac', '5100_9', 18, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('5738b00e-6d56-49fb-ad24-19eba7edcb23', '4004', 89, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('579e1617-b3e1-4517-b9f3-efa32e3fd261', '2052', 67, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('59255d5e-fe51-4d6b-94fe-084eaae95393', '5222', 88, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('59319480-b16b-49ab-9954-b34c5f17004a', '5074', 66, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('5a27d466-c82a-400e-ae43-970d2fb4f077', '6072', 85, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('5cf67b3a-ffcb-46c1-b4f2-eddcf7a5e731', '4038', 45, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('5d6d974d-52a5-4e64-bd1a-87a492d5a50f', '5202', 66, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('5e9ae07e-d160-46ec-a613-bec9314c8a29', '6066', 50, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('5f6e621e-d27a-4f5f-b448-e7c4eab6194a', '4074', 1, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('60af087b-4805-4c42-88b7-b303eeb62055', '5065', 47, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('61467021-e8ab-4e11-8a19-9c4fa59f2c00', '2051', 3, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('632c1f5c-9695-4efe-b477-6f0ae0032a4e', '2084', 59, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('63379ed2-e177-446c-a5d2-320382686291', '2100_6', 95, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('63d084b9-4c2c-42c0-8211-2d5168db9691', '4086', 28, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('63f97e33-92e1-4f18-870c-64b5ec40802a', '6019', 62, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('65c4a2e6-0e13-4a5d-aa73-a88e45b602a6', '4232', 5, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('666a5f9c-dff3-4e86-8044-faf77a9c8504', '2002', 96, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('6691464c-ffe8-4838-b05b-d203df26ccab', '5100_10', 70, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('690a69ef-b0d1-4259-8c33-f63e0f59e550', '6076', 93, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('6ab20c28-5792-4c77-834a-77ccf7b41b8e', '4048', 71, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('6ad9042a-a5d6-4cf6-a10e-2db2980bcacb', '3074', 62, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('6ae848d7-344c-42fc-bb8f-71557dedb9ec', '6213', 89, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('6afc1236-0ca7-403e-b94a-cf3b5e9cea0d', '2086', 90, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('6b6822dc-cfce-4c6c-84ed-f5dd52a9dca7', '4061', 7, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('6c785d10-e268-482a-81b2-96c919f19921', '5219', 92, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('6d602937-485b-47bb-91fe-2a2fbc2174f6', '3002', 35, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('6f3eace2-f0c4-4b92-a339-431601fdc111', '6011', 38, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('6f7da7ae-4e63-4b1f-b20b-6fcc8846047f', '5211', 15, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('701ee471-1b7c-4aca-80c6-61cff7462dd9', '2100_5', 42, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('705c0968-de30-4790-b6bb-d5fb6420c314', '3234', 91, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('708658d1-d5e1-40f5-8aae-9f825ca7d9f2', '2100_1', 19, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('716323b4-b732-41b5-adf0-b16431b4a4cf', '4231', 86, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('7197dcc6-86c9-43dd-bb52-37c8035f4c15', '2044', 22, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('719dba49-0e13-4f8f-b169-66c9ad964c66', '5091', 79, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('72829d26-5c7e-447f-9a6d-769b1514cd4e', '4100_2', 34, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('733696ac-37d8-40f4-a528-d934b3d281e9', '4008', 78, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('73ae8a7a-3e96-4b5d-b0e6-95eb1b8ff6ea', '6039', 67, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('74ad1801-ce5a-45e9-b09d-06f805c77771', '4100_6', 8, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('76881175-533d-460b-b79a-874026f4dc06', '4092', 28, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('785ba7c4-2ba4-497e-a7a6-eb07fb0ad0bc', '3092', 37, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('7c849097-af49-4a7e-b7e0-93d58c63ceb3', '3099', 76, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('7d319cf7-3919-421d-99b2-f5361aa93932', '4100_4', 97, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('7d44e0b9-d75e-4ff0-836b-e99ea9bfeb53', '5011', 26, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('7d7e2a7c-318a-4f5e-bf15-25c6f616e0d1', '5228', 33, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('7f7cebca-0587-40ce-9507-e3e0efaa5ea6', '4100_9', 84, '2017-11-08 00:00:00', 'vSensor2');
